ID_Number,Loan_Status
118.0,1
448.0,1
452.0,1
378.0,1
300.0,1
462.0,1
120.0,0
141.0,1
429.0,1
13.0,1
293.0,1
478.0,1
409.0,1
193.0,1
273.0,0
89.0,1
467.0,1
146.0,1
90.0,0
477.0,1
179.0,1
284.0,1
394.0,1
464.0,1
202.0,1
194.0,1
382.0,1
274.0,1
406.0,1
239.0,1
333.0,1
421.0,1
376.0,1
268.0,1
351.0,0
463.0,1
341.0,1
65.0,1
441.0,0
236.0,1
235.0,1
242.0,1
469.0,1
427.0,1
246.0,1
187.0,0
436.0,1
321.0,0
51.0,1
82.0,1
114.0,1
377.0,1
60.0,1
314.0,1
327.0,1
419.0,1
430.0,1
165.0,0
168.0,1
281.0,1
244.0,0
399.0,1
466.0,1
30.0,1
306.0,0
243.0,0
31.0,1
417.0,1
52.0,0
456.0,0
228.0,1
56.0,1
337.0,1
2.0,1
58.0,1
411.0,1
249.0,1
457.0,1
440.0,1
443.0,0
310.0,0
434.0,1
385.0,0
80.0,1
213.0,1
26.0,0
159.0,1
280.0,1
331.0,1
401.0,1
363.0,1
50.0,0
414.0,1
14.0,0
470.0,1
101.0,0
